premise	initial	counterfactual	original_ending	generated_ending	bert_o1h1	bert_o1h123	bert_consec
Molly loves popcorn.	She eats it everyday.	However, she ate too much of it one day, and never wants to eat it again.	On Molly birthday her mom took her to the popcorn factory. They took a tour of the factory. Molly had a great day.	DEPRECATED	-1	-1	-1
Molly loves popcorn.	She eats it everyday.	However, she ate too much of it one day, and never wants to eat it again.	On Molly birthday her mom took her to the popcorn factory. They took a tour of the factory. Molly had a great day.	DEPRECATED	-1	-1	-1
Molly loves popcorn.	She eats it everyday.	However, she ate too much of it one day, and never wants to eat it again.	On Molly birthday her mom took her to the popcorn factory. They took a tour of the factory. Molly had a great day.	She's not sure why, but she's not sure she wants to eat it again. She's a little worried that she might get sick from eating too much of it. Molly is a little worried that she might get sick from eating too much of it.	-1	-1	-1
Molly loves popcorn.	She eats it everyday.	However, she ate too much of it one day, and never wants to eat it again.	On Molly birthday her mom took her to the popcorn factory. They took a tour of the factory. Molly had a great day.	She's not sure why, but she's not sure she wants to eat it again. She's a little worried that she's going to get sick. She's a little worried that she's going to get sick.	-1	-1	-1
Molly loves popcorn.	She eats it everyday.	However, she ate too much of it one day, and never wants to eat it again.	On Molly birthday her mom took her to the popcorn factory. They took a tour of the factory. Molly had a great day.	She's not sure why, but she's not sure she wants to eat it again. She's a little worried the next time she eats it, she'll be sick. She's a little worried that she'll get sick.	5.156368255615234	5.204296588897705	5.1612575848897295
Molly loves popcorn.	She eats it everyday.	However, she ate too much of it one day, and never wants to eat it again.	On Molly birthday her mom took her to the popcorn factory. They took a tour of the factory. Molly had a great day.	She's not sure why, but she's not sure she wants to eat it again. She's a little worried that she's going to get sick. She's a little worried.	5.156368255615234	5.142484188079834	4.789602915445964
Tim rented a car to visit his ill mother.	Tim's mother was in a nursing home in Detroit.	Tim's mother was a patient at a hospital.	While on his way to the nursing home, Tim was in a car accident. The tow truck driver offered to drop off Tim at the nursing home. Tim was very thankful.	He was in a coma for several year, and was in a wheelchair. The hospital was in a suburb area, and the hospital was in a rural area. Tim was very close to his mother, and he was very close to his father.	2.730792284011841	5.194014549255371	1.9942773580551147
Tim rented a car to visit his ill mother.	Tim's mother was in a nursing home in Detroit.	Tim's mother was a patient at a hospital.	While on his way to the nursing home, Tim was in a car accident. The tow truck driver offered to drop off Tim at the nursing home. Tim was very thankful.	He was in a coma for several year, and was in a wheelchair. The hospital was in a suburb area, and the hospital staff were very friendly. Tim was very thankful.	2.730792284011841	5.200869560241699	2.7104500929514566
Tim rented a car to visit his ill mother.	Tim's mother was in a nursing home in Detroit.	Tim's mother was a patient at a hospital.	While on his way to the nursing home, Tim was in a car accident. The tow truck driver offered to drop off Tim at the nursing home. Tim was very thankful.	DEPRECATED	-1	-1	-1
Tim rented a car to visit his ill mother.	Tim's mother was in a nursing home in Detroit.	Tim's mother was a patient at a hospital.	While on his way to the nursing home, Tim was in a car accident. The tow truck driver offered to drop off Tim at the nursing home. Tim was very thankful.	DEPRECATED	-1	-1	-1
Tim rented a car to visit his ill mother.	Tim's mother was in a nursing home in Detroit.	Tim's mother was a patient at a hospital.	While on his way to the nursing home, Tim was in a car accident. The tow truck driver offered to drop off Tim at the nursing home. Tim was very thankful.	He was in a coma for several year, and was in a wheelchair. The hospital was in a suburb area, and the hospital staff were very friendly. Tim was very thankful for the visit, and he was very happy to see his mother.	2.730792284011841	5.226142406463623	3.047352949778239
Tim rented a car to visit his ill mother.	Tim's mother was in a nursing home in Detroit.	Tim's mother was a patient at a hospital.	While on his way to the nursing home, Tim was in a car accident. The tow truck driver offered to drop off Tim at the nursing home. Tim was very thankful.	DEPRECATED	-1	-1	-1
Tim rented a car to visit his ill mother.	Tim's mother was in a nursing home in Detroit.	Tim's mother was a patient at a hospital.	While on his way to the nursing home, Tim was in a car accident. The tow truck driver offered to drop off Tim at the nursing home. Tim was very thankful.	DEPRECATED	-1	-1	-1
Tim rented a car to visit his ill mother.	Tim's mother was in a nursing home in Detroit.	Tim's mother was a patient at a hospital.	While on his way to the nursing home, Tim was in a car accident. The tow truck driver offered to drop off Tim at the nursing home. Tim was very thankful.	DEPRECATED	-1	-1	-1
Max had been dating Maddie for three Year's.	He had never met her family.	Max had met Maddie's family many times.	He felt very suspicious and told Maddie he wanted to meet them. Maddie was worried because she had a secret. Maddie wondered how Max would react to her two dads.	He had been friends with Maddie's mother, and had been friends with her father's brother, and had been friends with her mother's sister, and had been friends with her father's brother's wife, and had been friends with her mother's sister's husband, and had been friends with her mother's sister's husband's wife, and had been friends with her mother's sister's husband's wife's wife, and had been friends with her mother's sister's husband's	-1	-1	-1
Max had been dating Maddie for three Year's.	He had never met her family.	Max had met Maddie's family many times.	He felt very suspicious and told Maddie he wanted to meet them. Maddie was worried because she had a secret. Maddie wondered how Max would react to her two dads.	He had been friends with Maddie's mother, his brother, and his sister. Maddie was a very sweet girl. Maddie was very smart.	5.170835971832275	5.248094081878662	5.014588514963786
Max had been dating Maddie for three Year's.	He had never met her family.	Max had met Maddie's family many times.	He felt very suspicious and told Maddie he wanted to meet them. Maddie was worried because she had a secret. Maddie wondered how Max would react to her two dads.	DEPRECATED	-1	-1	-1
Max had been dating Maddie for three Year's.	He had never met her family.	Max had met Maddie's family many times.	He felt very suspicious and told Maddie he wanted to meet them. Maddie was worried because she had a secret. Maddie wondered how Max would react to her two dads.	DEPRECATED	-1	-1	-1
Max had been dating Maddie for three Year's.	He had never met her family.	Max had met Maddie's family many times.	He felt very suspicious and told Maddie he wanted to meet them. Maddie was worried because she had a secret. Maddie wondered how Max would react to her two dads.	He had been friends with Maddie's father, and had been friends with her mother. Maddie was a very sweet girl, and Max had been very close to her. Maddie was very smart, and Max had been very smart.	5.117780685424805	5.252847671508789	5.1690090497334795
Max had been dating Maddie for three Year's.	He had never met her family.	Max had met Maddie's family many times.	He felt very suspicious and told Maddie he wanted to meet them. Maddie was worried because she had a secret. Maddie wondered how Max would react to her two dads.	He felt very close to Maddie. Maddie was a very sweet girl. Maddie was very smart.	4.951510429382324	5.202641010284424	5.039367039998372
Max had been dating Maddie for three Year's.	He had never met her family.	Max had met Maddie's family many times.	He felt very suspicious and told Maddie he wanted to meet them. Maddie was worried because she had a secret. Maddie wondered how Max would react to her two dads.	DEPRECATED	-1	-1	-1
Max had been dating Maddie for three Year's.	He had never met her family.	Max had met Maddie's family many times.	He felt very suspicious and told Maddie he wanted to meet them. Maddie was worried because she had a secret. Maddie wondered how Max would react to her two dads.	DEPRECATED	-1	-1	-1
I'm waiting for a payment to come through the mail.	After several weeks, nothing came through the mail.	It had been delivered to my neighbor by accident, and she dropped it off.	A few people knocked on my door. Apparently they have the mail with my payment. I was relieved.	I'm not sure if it's a mistake or if it's a mistake that I'm responsible for. I'm not sure if I should be angry or angry that she's not paying. I'm not sure if I should be angry or angry that she's not paying.	-1	-1	-1
I'm waiting for a payment to come through the mail.	After several weeks, nothing came through the mail.	It had been delivered to my neighbor by accident, and she dropped it off.	A few people knocked on my door. Apparently they have the mail with my payment. I was relieved.	DEPRECATED	-1	-1	-1
I'm waiting for a payment to come through the mail.	After several weeks, nothing came through the mail.	It had been delivered to my neighbor by accident, and she dropped it off.	A few people knocked on my door. Apparently they have the mail with my payment. I was relieved.	A few days later, my neighbor received a letter from the bank saying that the money was in the mail. I called the bank and asked them they could send me a check for the money. I was told that the money was in the bank and that I should have to wait until the bank received it.	5.167186737060547	5.118713855743408	5.108444690704346
I'm waiting for a payment to come through the mail.	After several weeks, nothing came through the mail.	It had been delivered to my neighbor by accident, and she dropped it off.	A few people knocked on my door. Apparently they have the mail with my payment. I was relieved.	I'm not sure if it's a mistake or if it's a mistake that I'm responsible for. I'm not the one who dropped it. I was just waiting for it to arrive.	2.8553295135498047	5.12027645111084	2.5798219045003257
I'm waiting for a payment to come through the mail.	After several weeks, nothing came through the mail.	It had been delivered to my neighbor by accident, and she dropped it off.	A few people knocked on my door. Apparently they have the mail with my payment. I was relieved.	I'm not sure if my neighbor is a scammer or not, but I'm not going to pay for it. I'm not going to pay for it. I'm not going to pay for it.	-1	-1	-1
I'm waiting for a payment to come through the mail.	After several weeks, nothing came through the mail.	It had been delivered to my neighbor by accident, and she dropped it off.	A few people knocked on my door. Apparently they have the mail with my payment. I was relieved.	DEPRECATED	-1	-1	-1
I'm waiting for a payment to come through the mail.	After several weeks, nothing came through the mail.	It had been delivered to my neighbor by accident, and she dropped it off.	A few people knocked on my door. Apparently they have the mail with my payment. I was relieved.	DEPRECATED	-1	-1	-1
I'm waiting for a payment to come through the mail.	After several weeks, nothing came through the mail.	It had been delivered to my neighbor by accident, and she dropped it off.	A few people knocked on my door. Apparently they have the mail with my payment. I was relieved.	DEPRECATED	-1	-1	-1
Kennan was born with a proprioceptive disorder.	His mom had a hard time explaining to his brother what that meant.	His mom explained it to his brother in a way that made his brother perfectly understand.	Because Kallen didn't understand, the boys fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.	"He didn't understand, but he knew," said his mom, Karen. "He knew that he was different. He knew that he was different from everybody else."	4.1414384841918945	4.022338390350342	4.7256879806518555
Kennan was born with a proprioceptive disorder.	His mom had a hard time explaining to his brother what that meant.	His mom explained it to his brother in a way that made his brother perfectly understand.	Because Kallen didn't understand, the boys fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.	"He didn't understand, but he knew," said his mom, Karen. "He knew that he was the only one who could see." Kennan's mom said a nurse, and she was a nurse.	4.1414384841918945	5.2635321617126465	2.5951834122339883
Kennan was born with a proprioceptive disorder.	His mom had a hard time explaining to his brother what that meant.	His mom explained it to his brother in a way that made his brother perfectly understand.	Because Kallen didn't understand, the boys fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.	DEPRECATED	-1	-1	-1
Kennan was born with a proprioceptive disorder.	His mom had a hard time explaining to his brother what that meant.	His mom explained it to his brother in a way that made his brother perfectly understand.	Because Kallen didn't understand, the boys fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.	"He didn't understand, but he knew," said his mom, Karen. "He knew that he was the only one who could see." They were the only family in the world with this condition.	4.1414384841918945	4.599349498748779	2.60841699441274
Kennan was born with a proprioceptive disorder.	His mom had a hard time explaining to his brother what that meant.	His mom explained it to his brother in a way that made his brother perfectly understand.	Because Kallen didn't understand, the boys fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.	DEPRECATED	-1	-1	-1
Kennan was born with a proprioceptive disorder.	His mom had a hard time explaining to his brother what that meant.	His mom explained it to his brother in a way that made his brother perfectly understand.	Because Kallen didn't understand, the boys fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.	DEPRECATED	-1	-1	-1
Kennan was born with a proprioceptive disorder.	His mom had a hard time explaining to his brother what that meant.	His mom explained it to his brother in a way that made his brother perfectly understand.	Because Kallen didn't understand, the boys fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.	DEPRECATED	-1	-1	-1
Kennan was born with a proprioceptive disorder.	His mom had a hard time explaining to his brother what that meant.	His mom explained it to his brother in a way that made his brother perfectly understand.	Because Kallen didn't understand, the boys fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.	"He didn't understand, but he knew," said his mom, Karen. "He knew that he was the only one who could see." Kennan's mom, Karen, was a nurse at the hospital where he was born.	4.1414384841918945	5.266774654388428	2.6597447792689004
Rich had worked in the woods for Years.	He spent most of his days alone and his nights drinking.	He never drank because he spent most of his time alone.	As he got older he realized his lifestyle needed to change. He went to Alcoholics Anonymous and sobered up. Rich was successful in Alcoholics Anonymous and became a sponsor.	He was a good man. He was a good father. He was a good husband.	2.6161630153656006	2.455197334289551	3.3771958351135254
Rich had worked in the woods for Years.	He spent most of his days alone and his nights drinking.	He never drank because he spent most of his time alone.	As he got older he realized his lifestyle needed to change. He went to Alcoholics Anonymous and sobered up. Rich was successful in Alcoholics Anonymous and became a sponsor.	DEPRECATED	-1	-1	-1
Rich had worked in the woods for Years.	He spent most of his days alone and his nights drinking.	He never drank because he spent most of his time alone.	As he got older he realized his lifestyle needed to change. He went to Alcoholics Anonymous and sobered up. Rich was successful in Alcoholics Anonymous and became a sponsor.	DEPRECATED	-1	-1	-1
Rich had worked in the woods for Years.	He spent most of his days alone and his nights drinking.	He never drank because he spent most of his time alone.	As he got older he realized his lifestyle needed to change. He went to Alcoholics Anonymous and sobered up. Rich was successful in Alcoholics Anonymous and became a sponsor.	DEPRECATED	-1	-1	-1
Rich had worked in the woods for Years.	He spent most of his days alone and his nights drinking.	He never drank because he spent most of his time alone.	As he got older he realized his lifestyle needed to change. He went to Alcoholics Anonymous and sobered up. Rich was successful in Alcoholics Anonymous and became a sponsor.	DEPRECATED	-1	-1	-1
Rich had worked in the woods for Years.	He spent most of his days alone and his nights drinking.	He never drank because he spent most of his time alone.	As he got older he realized his lifestyle needed to change. He went to Alcoholics Anonymous and sobered up. Rich was successful in Alcoholics Anonymous and became a sponsor.	DEPRECATED	-1	-1	-1
Rich had worked in the woods for Years.	He spent most of his days alone and his nights drinking.	He never drank because he spent most of his time alone.	As he got older he realized his lifestyle needed to change. He went to Alcoholics Anonymous and sobered up. Rich was successful in Alcoholics Anonymous and became a sponsor.	DEPRECATED	-1	-1	-1
Rich had worked in the woods for Years.	He spent most of his days alone and his nights drinking.	He never drank because he spent most of his time alone.	As he got older he realized his lifestyle needed to change. He went to Alcoholics Anonymous and sobered up. Rich was successful in Alcoholics Anonymous and became a sponsor.	DEPRECATED	-1	-1	-1
Tanya wanted to see her sister.	She took a plane.	She took a car.	She watched a movie on the plane. She listened to music. She arrived to her sister's house afterwards.	She went to the mall. She went to the movies. She went to the gym.	4.136415958404541	4.340890884399414	4.483773708343506
Tanya wanted to see her sister.	She took a plane.	She took a car.	She watched a movie on the plane. She listened to music. She arrived to her sister's house afterwards.	DEPRECATED	-1	-1	-1
Tanya wanted to see her sister.	She took a plane.	She took a car.	She watched a movie on the plane. She listened to music. She arrived to her sister's house afterwards.	DEPRECATED	-1	-1	-1
Tanya wanted to see her sister.	She took a plane.	She took a car.	She watched a movie on the plane. She listened to music. She arrived to her sister's house afterwards.	She went to the mall. She went to the movies. She went to her sister's house.	4.136415958404541	4.7693867683410645	4.301085631052653
Tanya wanted to see her sister.	She took a plane.	She took a car.	She watched a movie on the plane. She listened to music. She arrived to her sister's house afterwards.	DEPRECATED	-1	-1	-1
Tanya wanted to see her sister.	She took a plane.	She took a car.	She watched a movie on the plane. She listened to music. She arrived to her sister's house afterwards.	DEPRECATED	-1	-1	-1
Tanya wanted to see her sister.	She took a plane.	She took a car.	She watched a movie on the plane. She listened to music. She arrived to her sister's house afterwards.	DEPRECATED	-1	-1	-1
Tanya wanted to see her sister.	She took a plane.	She took a car.	She watched a movie on the plane. She listened to music. She arrived to her sister's house afterwards.	DEPRECATED	-1	-1	-1
One afternoon Sallie took her dog, Gibby, to the dog park.	Gibby was always afraid of the other dogs at the park.	But Gibby wasn't feeling well, so Sallie took her home.	But this time, she met another dog who was also just as afraid. Both dogs greeted each other with wagging tails. Sallie was glad that Gibbie made a friend.	But this time, she didn't bring her dog with her. She brought her dog with her. "I was like, 'I don't know what to do,'" Sallie said.	4.4405364990234375	5.24111795425415	3.380876729885737
One afternoon Sallie took her dog, Gibby, to the dog park.	Gibby was always afraid of the other dogs at the park.	But Gibby wasn't feeling well, so Sallie took her home.	But this time, she met another dog who was also just as afraid. Both dogs greeted each other with wagging tails. Sallie was glad that Gibbie made a friend.	"I was just sitting there, and I just started crying. I was like, 'I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I 'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I	-1	-1	-1
One afternoon Sallie took her dog, Gibby, to the dog park.	Gibby was always afraid of the other dogs at the park.	But Gibby wasn't feeling well, so Sallie took her home.	But this time, she met another dog who was also just as afraid. Both dogs greeted each other with wagging tails. Sallie was glad that Gibbie made a friend.	DEPRECATED	-1	-1	-1
One afternoon Sallie took her dog, Gibby, to the dog park.	Gibby was always afraid of the other dogs at the park.	But Gibby wasn't feeling well, so Sallie took her home.	But this time, she met another dog who was also just as afraid. Both dogs greeted each other with wagging tails. Sallie was glad that Gibbie made a friend.	But when she got home, she found that Gibby had been shot. "I was with my husband and my daughter and we were just like, 'What the hell is going on?'" Sallie said. "I was like, 'What the hell is going on?'"  S family was shocked to learn that the dog had been shot in the head.	5.268559455871582	5.292407512664795	4.009730259577434
One afternoon Sallie took her dog, Gibby, to the dog park.	Gibby was always afraid of the other dogs at the park.	But Gibby wasn't feeling well, so Sallie took her home.	But this time, she met another dog who was also just as afraid. Both dogs greeted each other with wagging tails. Sallie was glad that Gibbie made a friend.	But this time, she didn't bring her dog with her. She brought her dog with her. Sallie was upset that Gibby wasn a stray.	4.4405364990234375	5.296713829040527	4.576339403788249
One afternoon Sallie took her dog, Gibby, to the dog park.	Gibby was always afraid of the other dogs at the park.	But Gibby wasn't feeling well, so Sallie took her home.	But this time, she met another dog who was also just as afraid. Both dogs greeted each other with wagging tails. Sallie was glad that Gibbie made a friend.	DEPRECATED	-1	-1	-1
One afternoon Sallie took her dog, Gibby, to the dog park.	Gibby was always afraid of the other dogs at the park.	But Gibby wasn't feeling well, so Sallie took her home.	But this time, she met another dog who was also just as afraid. Both dogs greeted each other with wagging tails. Sallie was glad that Gibbie made a friend.	But this time, she didn't bring her dog with her. She brought her dog with her. Sallie was upset that Gibby was gone.	4.4405364990234375	5.29372501373291	3.936386744181315
One afternoon Sallie took her dog, Gibby, to the dog park.	Gibby was always afraid of the other dogs at the park.	But Gibby wasn't feeling well, so Sallie took her home.	But this time, she met another dog who was also just as afraid. Both dogs greeted each other with wagging tails. Sallie was glad that Gibbie made a friend.	But when she got home, she found that Gibby had been shot. "I was just so shocked," Sallie said. Sallie was so upset that she called a friend.	5.268559455871582	5.302371501922607	3.981330911318461
Omar was walking his dog in a new neighborhood.	Then he realized he had gotten lost!	He new exactly where he was going.	Omar was afraid. He retraced his steps carefully. They made it home safely.	He was afraid. He was scared. He was scared.	-1	-1	-1
Omar was walking his dog in a new neighborhood.	Then he realized he had gotten lost!	He new exactly where he was going.	Omar was afraid. He retraced his steps carefully. They made it home safely.	DEPRECATED	-1	-1	-1
Omar was walking his dog in a new neighborhood.	Then he realized he had gotten lost!	He new exactly where he was going.	Omar was afraid. He retraced his steps carefully. They made it home safely.	DEPRECATED	-1	-1	-1
Omar was walking his dog in a new neighborhood.	Then he realized he had gotten lost!	He new exactly where he was going.	Omar was afraid. He retraced his steps carefully. They made it home safely.	DEPRECATED	-1	-1	-1
Omar was walking his dog in a new neighborhood.	Then he realized he had gotten lost!	He new exactly where he was going.	Omar was afraid. He retraced his steps carefully. They made it home safely.	He was walking his dog in a new neighborhood. He was walking his dog in a new neighborhood. He was walking his dog in a new neighborhood.	-1	-1	-1
Omar was walking his dog in a new neighborhood.	Then he realized he had gotten lost!	He new exactly where he was going.	Omar was afraid. He retraced his steps carefully. They made it home safely.	DEPRECATED	-1	-1	-1
Omar was walking his dog in a new neighborhood.	Then he realized he had gotten lost!	He new exactly where he was going.	Omar was afraid. He retraced his steps carefully. They made it home safely.	DEPRECATED	-1	-1	-1
Omar was walking his dog in a new neighborhood.	Then he realized he had gotten lost!	He new exactly where he was going.	Omar was afraid. He retraced his steps carefully. They made it home safely.	DEPRECATED	-1	-1	-1
My friend texted me, wanting to hang out Friday night.	I wanted to take her out for dinner.	I wanted to stay home and avoid her though.	When I tried to contact her on Friday, I got no reply. Despite the change of plans, everything turned out great. I met up with another friend and we enjoyed ourselves.	I was worried nervous. I was worried about her, and I was worried about her being upset. I was worried about her being angry.	1.9315372705459595	2.1205317974090576	3.482751647631327
My friend texted me, wanting to hang out Friday night.	I wanted to take her out for dinner.	I wanted to stay home and avoid her though.	When I tried to contact her on Friday, I got no reply. Despite the change of plans, everything turned out great. I met up with another friend and we enjoyed ourselves.	I was so tired of her. I was so tired of her. I was so tired of her and I was so tired of her.	-1	-1	-1
My friend texted me, wanting to hang out Friday night.	I wanted to take her out for dinner.	I wanted to stay home and avoid her though.	When I tried to contact her on Friday, I got no reply. Despite the change of plans, everything turned out great. I met up with another friend and we enjoyed ourselves.	DEPRECATED	-1	-1	-1
My friend texted me, wanting to hang out Friday night.	I wanted to take her out for dinner.	I wanted to stay home and avoid her though.	When I tried to contact her on Friday, I got no reply. Despite the change of plans, everything turned out great. I met up with another friend and we enjoyed ourselves.	When I got to the bar, I saw her and her friend. I was nervous, but I knew she was going to be okay. I told her I was going to go to the bar and she said, "I'm going to go to the bar too."	3.6530416011810303	3.6902921199798584	2.9913125038146973
My friend texted me, wanting to hang out Friday night.	I wanted to take her out for dinner.	I wanted to stay home and avoid her though.	When I tried to contact her on Friday, I got no reply. Despite the change of plans, everything turned out great. I met up with another friend and we enjoyed ourselves.	DEPRECATED	-1	-1	-1
My friend texted me, wanting to hang out Friday night.	I wanted to take her out for dinner.	I wanted to stay home and avoid her though.	When I tried to contact her on Friday, I got no reply. Despite the change of plans, everything turned out great. I met up with another friend and we enjoyed ourselves.	I was worried nervous, her phone was ringing off the hook. I was worried about her, but I was also worried about me. I was worried about her, and I was worried about me.	-1	-1	-1
My friend texted me, wanting to hang out Friday night.	I wanted to take her out for dinner.	I wanted to stay home and avoid her though.	When I tried to contact her on Friday, I got no reply. Despite the change of plans, everything turned out great. I met up with another friend and we enjoyed ourselves.	I was worried tired, and I didn't want to be around. I was worried about her, and I was worried about her being angry. I was worried about her being angry.	2.9885919094085693	2.8883004188537598	3.7198289235432944
My friend texted me, wanting to hang out Friday night.	I wanted to take her out for dinner.	I wanted to stay home and avoid her though.	When I tried to contact her on Friday, I got no reply. Despite the change of plans, everything turned out great. I met up with another friend and we enjoyed ourselves.	DEPRECATED	-1	-1	-1
My husband is lazy.	He never wants to clean up.	I decided to leave him.	He likes to leave dirty dishes in the sink. i hate cleaning up his messes. But I do it anyway because I'm afraid he will leave me.	He's not. He's not lazy. But's just a good guy.	2.018890619277954	5.213440895080566	3.3677139282226562
My husband is lazy.	He never wants to clean up.	I decided to leave him.	He likes to leave dirty dishes in the sink. i hate cleaning up his messes. But I do it anyway because I'm afraid he will leave me.	He's not. He's not lazy. He's not lazy.	-1	-1	-1
My husband is lazy.	He never wants to clean up.	I decided to leave him.	He likes to leave dirty dishes in the sink. i hate cleaning up his messes. But I do it anyway because I'm afraid he will leave me.	DEPRECATED	-1	-1	-1
My husband is lazy.	He never wants to clean up.	I decided to leave him.	He likes to leave dirty dishes in the sink. i hate cleaning up his messes. But I do it anyway because I'm afraid he will leave me.	DEPRECATED	-1	-1	-1
My husband is lazy.	He never wants to clean up.	I decided to leave him.	He likes to leave dirty dishes in the sink. i hate cleaning up his messes. But I do it anyway because I'm afraid he will leave me.	DEPRECATED	-1	-1	-1
My husband is lazy.	He never wants to clean up.	I decided to leave him.	He likes to leave dirty dishes in the sink. i hate cleaning up his messes. But I do it anyway because I'm afraid he will leave me.	DEPRECATED	-1	-1	-1
My husband is lazy.	He never wants to clean up.	I decided to leave him.	He likes to leave dirty dishes in the sink. i hate cleaning up his messes. But I do it anyway because I'm afraid he will leave me.	DEPRECATED	-1	-1	-1
My husband is lazy.	He never wants to clean up.	I decided to leave him.	He likes to leave dirty dishes in the sink. i hate cleaning up his messes. But I do it anyway because I'm afraid he will leave me.	DEPRECATED	-1	-1	-1
Dana thought his girlfriend's roommate liked him.	But tonight he found out how much.	He was ready to make a move on her tonight.	He showed at his girlfriend's home and her roommate opened the door. She sat next to him and then put her feet in his lap. Dana felt flustered and pushed her feet away.	He was ready to get down on his knees and beg her to let him fuck her. She was ready to let him fuck her. Dana felt his cock throb and his balls tighten.	4.7422943115234375	5.251323223114014	4.105577309926351
Dana thought his girlfriend's roommate liked him.	But tonight he found out how much.	He was ready to make a move on her tonight.	He showed at his girlfriend's home and her roommate opened the door. She sat next to him and then put her feet in his lap. Dana felt flustered and pushed her feet away.	He was ready to get down on his knees and beg the girl. She was ready to give him a blowjob. Dana felt his cock throb and he knew he was about to cum.	4.822793960571289	5.274994373321533	3.2615726788838706
